"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2017","7,503.47","7,522.03","7,532.95","7,478.88","1.02B","-0.25"
"May 16, 2017","7,522.03","7,454.37","7,533.70","7,452.44","1.04B","0.91"
"May 15, 2017","7,454.37","7,435.39","7,460.20","7,434.24","857.70M","0.26"
"May 12, 2017","7,435.39","7,386.63","7,435.39","7,381.74","879.09M","0.66"
"May 11, 2017","7,386.63","7,385.24","7,396.19","7,369.23","985.41M","0.02"
"May 10, 2017","7,385.24","7,342.21","7,398.58","7,331.30","848.26M","0.59"
"May 09, 2017","7,342.21","7,300.86","7,359.61","7,300.86","729.08M","0.57"
"May 08, 2017","7,300.86","7,297.43","7,322.32","7,285.76","738.84M","0.05"
"May 05, 2017","7,297.43","7,248.10","7,297.43","7,222.81","908.53M","0.68"
"May 04, 2017","7,248.10","7,234.53","7,280.70","7,226.07","947.13M","0.19"
"May 03, 2017","7,234.53","7,250.05","7,250.05","7,218.56","790.04M","-0.21"
"May 02, 2017","7,250.05","7,203.94","7,254.32","7,203.94","939.01M","0.64"
"Apr 28, 2017","7,203.94","7,237.17","7,243.31","7,197.28","1.18B","-0.46"
"Apr 27, 2017","7,237.17","7,288.72","7,289.38","7,224.35","1.13B","-0.71"
"Apr 26, 2017","7,288.72","7,275.64","7,302.57","7,262.32","887.07M","0.18"
"Apr 25, 2017","7,275.64","7,264.68","7,290.82","7,258.74","861.21M","0.15"
"Apr 24, 2017","7,264.68","7,114.55","7,273.90","7,114.55","1.06B","2.11"
"Apr 21, 2017","7,114.55","7,118.54","7,134.53","7,104.22","924.44M","-0.06"
"Apr 20, 2017","7,118.54","7,114.36","7,127.58","7,096.83","856.40M","0.06"
"Apr 19, 2017","7,114.36","7,147.50","7,151.18","7,114.36","1.05B","-0.46"
"Apr 18, 2017","7,147.50","7,327.59","7,327.59","7,147.50","1.07B","-2.46"
"Apr 13, 2017","7,327.59","7,348.99","7,348.99","7,298.85","738.07M","-0.29"
"Apr 12, 2017","7,348.99","7,365.50","7,402.42","7,348.84","915.89M","-0.22"
"Apr 11, 2017","7,365.50","7,348.94","7,406.35","7,332.59","820.61M","0.23"
"Apr 10, 2017","7,348.94","7,349.37","7,359.25","7,337.01","689.47M","-0.01"
"Apr 07, 2017","7,349.37","7,303.20","7,349.37","7,284.73","804.73M","0.63"
"Apr 06, 2017","7,303.20","7,331.68","7,331.68","7,258.11","912.35M","-0.39"
"Apr 05, 2017","7,331.68","7,321.82","7,362.59","7,321.82","772.84M","0.13"
"Apr 04, 2017","7,321.82","7,282.69","7,324.60","7,282.69","810.27M","0.54"
"Apr 03, 2017","7,282.69","7,322.92","7,350.30","7,280.76","769.00M","-0.55"
"Mar 31, 2017","7,322.92","7,369.52","7,369.55","7,322.92","986.61M","-0.63"
"Mar 30, 2017","7,369.52","7,373.72","7,384.80","7,340.25","784.50M","-0.06"
"Mar 29, 2017","7,373.72","7,343.42","7,373.72","7,313.90","803.45M","0.41"
"Mar 28, 2017","7,343.42","7,293.50","7,349.59","7,285.80","815.61M","0.68"
"Mar 27, 2017","7,293.50","7,336.82","7,336.82","7,255.78","802.85M","-0.59"
"Mar 24, 2017","7,336.82","7,340.71","7,351.60","7,322.86","652.71M","-0.05"
"Mar 23, 2017","7,340.71","7,324.72","7,346.40","7,307.65","807.60M","0.22"
"Mar 22, 2017","7,324.72","7,378.34","7,378.40","7,301.83","932.57M","-0.73"
"Mar 21, 2017","7,378.34","7,429.81","7,440.85","7,360.67","873.16M","-0.69"
"Mar 20, 2017","7,429.81","7,424.96","7,433.68","7,399.97","629.94M","0.07"
"Mar 17, 2017","7,424.96","7,415.95","7,447.00","7,402.64","1.56B","0.12"
"Mar 16, 2017","7,415.95","7,368.64","7,444.62","7,368.64","1.12B","0.64"
"Mar 15, 2017","7,368.64","7,357.85","7,383.33","7,357.58","845.71M","0.15"
"Mar 14, 2017","7,357.85","7,367.08","7,386.17","7,339.27","868.57M","-0.13"
"Mar 13, 2017","7,367.08","7,343.08","7,377.41","7,342.02","708.55M","0.33"
"Mar 10, 2017","7,343.08","7,314.96","7,373.00","7,314.96","948.17M","0.38"
"Mar 09, 2017","7,314.96","7,334.61","7,336.26","7,263.62","1.08B","-0.27"
"Mar 08, 2017","7,334.61","7,338.99","7,354.47","7,315.86","893.03M","-0.06"
"Mar 07, 2017","7,338.99","7,350.12","7,363.74","7,335.27","870.64M","-0.15"
"Mar 06, 2017","7,350.12","7,374.26","7,374.26","7,338.94","758.39M","-0.33"
"Mar 03, 2017","7,374.26","7,382.35","7,382.36","7,353.64","876.91M","-0.11"
"Mar 02, 2017","7,382.35","7,382.90","7,394.61","7,372.68","955.78M","-0.01"
"Mar 01, 2017","7,382.90","7,263.44","7,383.05","7,263.44","1.07B","1.64"
"Feb 28, 2017","7,263.44","7,253.00","7,284.20","7,246.60","1.01B","0.14"
"Feb 27, 2017","7,253.00","7,243.70","7,285.19","7,239.66","856.82M","0.13"
"Feb 24, 2017","7,243.70","7,271.37","7,271.86","7,192.45","881.80M","-0.38"
"Feb 23, 2017","7,271.37","7,302.25","7,310.05","7,262.94","1.10B","-0.42"
"Feb 22, 2017","7,302.25","7,274.83","7,314.26","7,274.71","1.18B","0.38"
"Feb 21, 2017","7,274.83","7,299.86","7,318.98","7,267.49","924.70M","-0.34"
"Feb 20, 2017","7,299.86","7,299.96","7,329.56","7,283.29","655.61M","-0.00"
"Feb 17, 2017","7,299.96","7,277.92","7,307.14","7,253.16","826.58M","0.30"
"Feb 16, 2017","7,277.92","7,302.41","7,302.41","7,260.74","705.21M","-0.34"
"Feb 15, 2017","7,302.41","7,268.56","7,313.44","7,268.56","738.32M","0.47"
"Feb 14, 2017","7,268.56","7,278.92","7,292.65","7,251.81","779.70M","-0.14"
"Feb 13, 2017","7,278.92","7,258.75","7,298.47","7,257.67","665.38M","0.28"
"Feb 10, 2017","7,258.75","7,229.50","7,274.80","7,229.45","902.73M","0.40"
"Feb 09, 2017","7,229.50","7,188.82","7,238.74","7,183.14","805.92M","0.57"
"Feb 08, 2017","7,188.82","7,186.22","7,195.94","7,147.18","963.91M","0.04"
"Feb 07, 2017","7,186.22","7,172.15","7,227.22","7,159.57","793.59M","0.20"
"Feb 06, 2017","7,172.15","7,188.30","7,208.73","7,165.17","633.43M","-0.22"
"Feb 03, 2017","7,188.30","7,140.75","7,202.37","7,133.63","810.15M","0.67"
"Feb 02, 2017","7,140.75","7,107.65","7,163.94","7,093.57","907.25M","0.47"
"Feb 01, 2017","7,107.65","7,099.15","7,170.24","7,099.15","809.59M","0.12"
