"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 27, 2017","7,505.03","7,486.50","7,520.76","7,485.24","870.03M","0.25"
"Oct 26, 2017","7,486.50","7,447.21","7,488.26","7,440.11","1.02B","0.53"
"Oct 25, 2017","7,447.21","7,526.54","7,528.46","7,437.42","922.39M","-1.05"
"Oct 24, 2017","7,526.54","7,524.45","7,535.22","7,508.50","676.61M","0.03"
"Oct 23, 2017","7,524.45","7,523.23","7,542.00","7,511.77","565.83M","0.02"
"Oct 20, 2017","7,523.23","7,523.04","7,560.04","7,517.07","752.95M","0.00"
"Oct 19, 2017","7,523.04","7,542.87","7,542.87","7,485.42","828.89M","-0.26"
"Oct 18, 2017","7,542.87","7,516.17","7,555.24","7,516.17","645.75M","0.36"
"Oct 17, 2017","7,516.17","7,526.97","7,550.44","7,506.31","1.03B","-0.14"
"Oct 16, 2017","7,526.97","7,535.44","7,557.00","7,526.73","738.06M","-0.11"
"Oct 13, 2017","7,535.44","7,556.24","7,556.24","7,521.09","686.92M","-0.28"
"Oct 12, 2017","7,556.24","7,533.81","7,565.11","7,526.33","722.80M","0.30"
"Oct 11, 2017","7,533.81","7,538.27","7,550.17","7,519.60","1.25B","-0.06"
"Oct 10, 2017","7,538.27","7,507.89","7,543.88","7,504.56","821.71M","0.40"
"Oct 09, 2017","7,507.89","7,522.87","7,523.65","7,493.68","695.85M","-0.20"
"Oct 06, 2017","7,522.87","7,507.99","7,527.72","7,507.99","694.72M","0.20"
"Oct 05, 2017","7,507.99","7,467.58","7,507.99","7,464.40","775.86M","0.54"
"Oct 04, 2017","7,467.58","7,468.11","7,476.33","7,456.61","945.11M","-0.01"
"Oct 03, 2017","7,468.11","7,438.84","7,469.82","7,426.67","718.75M","0.39"
"Oct 02, 2017","7,438.84","7,372.76","7,438.84","7,372.73","891.03M","0.90"
"Sep 29, 2017","7,372.76","7,322.82","7,382.67","7,321.64","750.78M","0.68"
"Sep 28, 2017","7,322.82","7,313.51","7,323.33","7,289.75","748.36M","0.13"
"Sep 27, 2017","7,313.51","7,285.74","7,327.50","7,285.74","857.13M","0.38"
"Sep 26, 2017","7,285.74","7,301.29","7,311.82","7,273.32","707.67M","-0.21"
"Sep 25, 2017","7,301.29","7,310.64","7,312.45","7,272.49","601.76M","-0.13"
"Sep 22, 2017","7,310.64","7,263.90","7,320.28","7,242.23","644.90M","0.64"
"Sep 21, 2017","7,263.90","7,271.95","7,289.16","7,260.05","807.48M","-0.11"
"Sep 20, 2017","7,271.95","7,275.25","7,289.93","7,249.58","794.23M","-0.05"
"Sep 19, 2017","7,275.25","7,253.28","7,285.67","7,243.59","797.45M","0.30"
"Sep 18, 2017","7,253.28","7,215.47","7,257.45","7,215.47","734.33M","0.52"
"Sep 15, 2017","7,215.47","7,295.39","7,295.39","7,196.58","1.46B","-1.10"
"Sep 14, 2017","7,295.39","7,379.70","7,390.70","7,287.73","1.26B","-1.14"
"Sep 13, 2017","7,379.70","7,400.69","7,401.30","7,336.23","870.09M","-0.28"
"Sep 12, 2017","7,400.69","7,413.59","7,435.84","7,386.98","768.76M","-0.17"
"Sep 11, 2017","7,413.59","7,377.60","7,434.07","7,377.60","633.81M","0.49"
"Sep 08, 2017","7,377.60","7,396.98","7,396.98","7,358.42","619.11M","-0.26"
"Sep 07, 2017","7,396.98","7,354.13","7,412.68","7,348.38","663.67M","0.58"
"Sep 06, 2017","7,354.13","7,372.92","7,372.92","7,322.42","697.15M","-0.25"
"Sep 05, 2017","7,372.92","7,411.47","7,437.51","7,369.58","558.08M","-0.52"
"Sep 04, 2017","7,411.47","7,438.50","7,438.50","7,404.05","398.67M","-0.36"
"Sep 01, 2017","7,438.50","7,430.62","7,460.52","7,430.06","552.91M","0.11"
"Aug 31, 2017","7,430.62","7,365.26","7,443.68","7,365.01","784.89M","0.89"
"Aug 30, 2017","7,365.26","7,337.43","7,381.33","7,337.43","686.61M","0.38"
"Aug 29, 2017","7,337.43","7,401.46","7,401.62","7,289.20","757.21M","-0.87"
"Aug 25, 2017","7,401.46","7,407.06","7,439.53","7,401.46","513.07M","-0.08"
"Aug 24, 2017","7,407.06","7,382.65","7,437.87","7,382.16","756.85M","0.33"
"Aug 23, 2017","7,382.65","7,381.74","7,394.52","7,360.33","611.96M","0.01"
"Aug 22, 2017","7,381.74","7,318.88","7,387.55","7,318.88","676.38M","0.86"
"Aug 21, 2017","7,318.88","7,323.98","7,331.95","7,296.80","552.91M","-0.07"
"Aug 18, 2017","7,323.98","7,387.87","7,387.87","7,302.47","741.56M","-0.86"
"Aug 17, 2017","7,387.87","7,433.03","7,433.74","7,382.16","593.94M","-0.61"
"Aug 16, 2017","7,433.03","7,383.85","7,444.98","7,383.85","586.26M","0.67"
"Aug 15, 2017","7,383.85","7,353.89","7,399.35","7,353.89","510.54M","0.41"
"Aug 14, 2017","7,353.89","7,309.96","7,377.66","7,309.96","553.29M","0.60"
"Aug 11, 2017","7,309.96","7,389.94","7,389.96","7,296.49","767.62M","-1.08"
"Aug 10, 2017","7,389.94","7,498.06","7,498.06","7,376.66","735.23M","-1.44"
"Aug 09, 2017","7,498.06","7,542.73","7,542.73","7,475.83","803.93M","-0.59"
"Aug 08, 2017","7,542.73","7,531.94","7,551.85","7,518.45","615.74M","0.14"
"Aug 07, 2017","7,531.94","7,511.71","7,533.74","7,511.71","632.19M","0.27"
"Aug 04, 2017","7,511.71","7,474.77","7,519.06","7,465.12","776.41M","0.49"
"Aug 03, 2017","7,474.77","7,411.43","7,484.53","7,384.22","819.30M","0.85"
"Aug 02, 2017","7,411.43","7,423.66","7,434.71","7,388.91","731.35M","-0.16"
"Aug 01, 2017","7,423.66","7,372.00","7,440.14","7,372.00","740.61M","0.70"
"Jul 31, 2017","7,372.00","7,368.37","7,425.52","7,367.86","927.04M","0.05"
"Jul 28, 2017","7,368.37","7,443.01","7,443.01","7,339.44","822.65M","-1.00"
"Jul 27, 2017","7,443.01","7,452.32","7,461.85","7,410.85","1.01B","-0.12"
"Jul 26, 2017","7,452.32","7,434.82","7,487.05","7,434.68","774.93M","0.24"
"Jul 25, 2017","7,434.82","7,377.73","7,453.74","7,377.73","798.83M","0.77"
"Jul 24, 2017","7,377.73","7,452.91","7,453.22","7,357.50","1.11B","-1.01"
"Jul 21, 2017","7,452.91","7,487.87","7,515.12","7,433.89","722.77M","-0.47"
