,BLND.csv,MNDI.csv,MKS.csv,NMC.csv,SLA.csv,RRS.csv,CCH.csv,SVT.csv,III.csv,BARC.csv,SBRY.csv,TSCO.csv,SGE.csv,IAG.csv,OML.csv,RR..csv,GKN.csv,RDSA.csv,BP..csv,DCC.csv,INF.csv,GSK.csv,MDC.csv,ITV.csv,LAND.csv,RB..csv,EZJ.csv,CNA.csv,AAL.csv,UU..csv
625,605.5,2078.0,316.8,2387.0,431.8,7450.0,2549.0,2222.0,939.5,193.25,237.6,176.95,695.0,616.5,203.4,902.0,315.2,2109.5,440.15,6855.0,693.0,1479.5,720.5,166.9,1072.0,7257.0,1289.0,199.9,1295.0,899.0
626,610.5,2099.0,319.2,2420.0,436.9,7550.0,2597.0,2257.0,946.5,193.3,237.7,184.2,700.5,614.5,206.1,917.0,320.0,2121.5,442.2,6975.0,700.0,1504.0,731.0,165.7,1081.0,7332.0,1293.0,200.9,1306.0,913.0
627,605.0,2098.0,322.6,2593.0,430.7,7565.0,2606.0,2248.0,949.5,192.85,236.9,187.1,698.0,612.0,205.9,917.0,321.9,2139.5,444.5,6965.0,691.0,1517.0,736.0,162.6,1072.0,7353.0,1270.0,200.0,1324.0,910.5
628,608.0,2105.0,316.4,2663.0,436.3,7625.0,2612.0,2252.0,951.0,194.5,237.2,187.45,696.0,618.0,207.6,910.0,320.2,2134.5,443.15,6925.0,692.5,1523.0,754.5,161.7,1074.0,7420.0,1214.0,199.8,1328.0,914.5
629,603.0,2096.0,312.9,2670.0,441.6,7570.0,2600.0,2249.0,951.0,194.3,236.1,184.2,693.5,616.5,210.1,906.5,321.0,2142.5,445.5,6920.0,686.5,1519.5,753.0,160.9,1054.4,7381.0,1216.0,197.1,1339.5,913.0
630,602.5,2078.0,314.5,2665.0,431.7,7915.0,2625.0,2241.0,949.0,190.35,230.7,180.85,687.5,609.5,208.5,897.0,314.5,2127.5,440.4,6945.0,686.5,1498.5,754.5,153.0,1056.5,7297.0,1206.0,193.5,1353.5,910.0
631,605.0,2086.0,317.5,2712.0,429.8,7905.0,2625.0,2253.0,958.0,190.7,235.8,182.4,688.0,601.0,205.9,909.5,319.2,2126.0,441.9,7015.0,680.5,1517.0,743.0,156.9,1066.1,7299.0,1182.0,195.5,1364.0,911.0
632,611.5,2113.0,319.6,2715.0,429.6,7910.0,2644.0,2269.0,969.5,191.1,235.6,180.9,692.5,611.5,207.5,914.0,318.9,2127.0,445.15,7045.0,690.5,1533.5,764.5,158.6,1077.3,7332.0,1196.0,199.9,1402.5,910.0
633,605.0,2124.0,320.3,2759.0,437.0,7910.0,2671.0,2254.0,964.0,192.15,236.1,183.1,694.0,617.0,207.9,920.0,322.8,2122.0,444.75,7140.0,688.0,1532.5,762.5,156.7,1062.4,7375.0,1190.0,199.1,1420.0,906.5
634,607.0,2090.0,320.8,2749.0,429.3,8070.0,2664.0,2250.0,959.0,190.2,234.1,185.35,690.5,603.5,205.4,911.5,321.1,2123.0,446.45,7270.0,684.5,1515.5,758.0,156.4,1064.5,7290.0,1181.0,198.0,1417.0,906.5
635,603.5,2074.0,324.2,2744.0,424.6,8080.0,2645.0,2275.0,947.0,187.9,235.8,184.7,694.5,595.0,204.5,900.5,321.8,2130.5,446.7,7300.0,683.0,1513.5,756.0,156.2,1062.4,7092.0,1156.0,196.8,1422.0,912.5
636,599.0,2038.0,325.0,2717.0,417.7,8020.0,2635.0,2277.0,936.0,185.85,237.0,186.0,682.0,589.5,201.1,892.0,321.2,2133.5,446.75,7220.0,678.0,1506.0,746.5,159.4,1073.0,7139.0,1151.0,196.8,1415.5,911.5
637,601.0,2028.0,327.2,2739.0,413.5,8190.0,2631.0,2283.0,929.0,184.0,237.2,186.45,696.5,590.5,200.1,884.0,331.6,2157.5,449.9,7320.0,681.0,1510.5,753.0,162.0,1066.1,7159.0,1159.0,195.6,1427.0,918.0
638,599.0,2023.0,321.3,2836.0,416.1,8125.0,2663.0,2274.0,930.5,187.6,234.9,187.75,695.0,593.5,200.4,892.0,329.0,2138.0,446.1,7370.0,684.0,1494.0,749.0,160.6,1064.5,7109.0,1156.0,194.3,1378.0,917.5
639,609.0,2050.0,321.0,2829.0,420.1,8000.0,2665.0,2270.0,943.0,186.65,236.1,186.15,696.5,607.5,200.1,902.0,330.3,2144.5,449.1,7355.0,683.0,1498.0,751.0,160.6,1073.0,7100.0,1195.0,194.4,1393.0,919.0
640,609.0,2080.0,322.8,2843.0,422.0,7765.0,2657.0,2240.0,936.0,191.35,239.1,185.05,698.0,598.5,200.6,900.0,330.1,2135.5,448.9,7290.0,679.5,1496.5,748.5,161.1,1068.0,7033.0,1194.0,193.8,1393.5,904.5
641,603.0,2063.0,324.5,2837.0,418.8,7715.0,2666.0,2233.0,922.0,191.55,239.6,181.65,702.0,601.0,198.7,903.0,327.2,2152.0,452.35,7230.0,680.0,1491.0,734.5,158.3,1054.4,7026.0,1202.0,191.8,1349.0,898.0
642,600.0,2032.0,333.6,2768.0,409.6,7610.0,2608.0,2214.0,914.0,189.8,240.4,183.25,716.5,595.5,197.5,902.5,337.5,2143.5,451.7,7200.0,673.0,1480.5,711.0,156.0,1056.0,6937.0,1205.0,190.4,1316.5,886.5
643,595.5,2010.0,330.5,2785.0,405.0,7545.0,2558.0,2230.0,911.0,186.65,237.7,181.5,703.0,591.5,193.7,885.5,338.8,2102.5,448.25,7085.0,668.5,1454.0,707.0,158.2,1040.0,6775.0,1213.0,188.0,1290.5,886.0
644,595.0,2058.0,328.6,2751.0,413.3,7415.0,2576.0,2201.0,922.0,187.45,237.0,183.85,705.0,591.0,196.5,889.5,347.6,2112.5,450.8,7100.0,665.0,1457.0,695.5,157.6,1036.0,6829.0,1210.0,187.3,1296.5,876.0
645,594.5,2032.0,340.0,2719.0,412.4,7450.0,2540.0,2200.0,925.5,188.3,243.1,185.75,702.5,606.5,196.5,896.5,347.8,2130.5,456.1,7065.0,663.0,1452.0,691.5,157.8,1037.3,6800.0,1228.0,190.3,1291.5,875.0
646,595.5,2023.0,348.0,2688.0,413.5,7470.0,2524.0,2208.0,923.0,185.9,244.2,186.5,713.5,596.5,197.6,900.5,345.0,2155.0,459.4,7080.0,665.5,1454.0,685.0,162.2,1030.9,6788.0,1230.0,189.0,1294.0,877.0
